timestamp,direction,price,fastEma,slowEma,atr,rsi,gapAbs,gapNorm,tradeOutcome,pnl,exitPrice,holdingPeriod
2024-11-22T04:00:00.000Z,LONG,23463.75,23394.91,23390.14,34.94,62.87,4.77,0.1366,SMALL_PROFIT,389.85,23853.6,20
2024-11-26T06:45:00.000Z,SHORT,24148.05,24197.97,24202.37,52.27,46.19,4.4,0.0842,BREAKEVEN,0,24148.05,0
2024-11-26T09:15:00.000Z,LONG,24230.4,24196.02,24193.37,46.19,52.74,2.66,0.0575,SMALL_PROFIT,99.7,24330.1,91
2024-11-27T03:45:00.000Z,SHORT,24170.35,24191.4,24192.03,43.64,46.31,0.63,0.0144,SMALL_PROFIT,3.2,24167.15,1
2024-11-27T04:30:00.000Z,LONG,24202.75,24192.14,24191.9,38.08,48.99,0.25,0.0065,SMALL_PROFIT,127.35,24330.1,14
2024-11-27T04:45:00.000Z,SHORT,24182.75,24190.26,24191.06,36.83,51.12,0.8,0.0217,BREAKEVEN,0,24182.75,0
2024-11-27T05:15:00.000Z,LONG,24197.05,24192.17,24191.83,39.58,51.35,0.34,0.0087,SMALL_PROFIT,133.05,24330.1,11
2024-11-28T05:00:00.000Z,SHORT,24126.7,24263.25,24265.24,36.56,30.27,1.98,0.0543,SMALL_PROFIT,214.85,23911.85,17
2024-11-29T05:30:00.000Z,LONG,24120.9,24056.22,24047.87,73.89,57.03,8.35,0.113,SMALL_PROFIT,41,24161.9,14
2024-12-04T09:15:00.000Z,SHORT,24438.1,24480.76,24482.28,29.95,48.96,1.51,0.0506,SMALL_PROFIT,104.55,24333.55,80
2024-12-05T03:45:00.000Z,LONG,24513.8,24482.65,24482.35,57.18,49.54,0.3,0.0053,SMALL_PROFIT,313.9,24827.7,20
2024-12-05T04:00:00.000Z,SHORT,24473.15,24480.75,24481.52,58.17,43.46,0.76,0.0131,SMALL_PROFIT,139.6,24333.55,5
2024-12-05T06:45:00.000Z,LONG,24608.1,24461.85,24451.24,46.82,64.18,10.61,0.2266,SMALL_PROFIT,219.6,24827.7,8
2024-12-09T03:45:00.000Z,SHORT,24662.75,24679.03,24680.43,54.5,44.49,1.39,0.0256,SMALL_PROFIT,77.85,24584.9,3
2024-12-10T04:45:00.000Z,LONG,24653.9,24641.1,24639.54,32.29,47.13,1.56,0.0484,SMALL_PROFIT,0.75,24654.65,5
